epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2601,1.13527,3.04453,0.97815,0.79586,0.55593,0.56488,0.3999,0.92176,1.04882,0.89866,0.000251404,0.000251404,0.000251404
2,26.4282,0.98426,1.10115,0.92505,0.71965,0.65031,0.63366,0.42155,1.00601,0.8482,0.92615,0.000502711,0.000502711,0.000502711
3,41.9244,0.95521,0.86405,0.90807,0.72814,0.67497,0.67046,0.45515,0.91573,0.81074,0.90556,0.000748942,0.000748942,0.000748942
4,54.992,0.93187,0.78728,0.90515,0.67138,0.67989,0.66347,0.45836,0.90638,0.92158,0.90162,0.000746161,0.000746161,0.000746161
5,68.2298,0.9097,0.74777,0.90276,0.87313,0.71056,0.73849,0.50217,0.92217,0.69751,0.90203,0.000738548,0.000738548,0.000738548
6,83.1203,0.91375,0.72515,0.89148,0.87323,0.69338,0.74849,0.48803,0.93395,0.66461,0.90208,0.000730935,0.000730935,0.000730935
7,96.2407,0.8994,0.65368,0.89442,0.8465,0.70076,0.73056,0.49729,0.88194,0.68197,0.88797,0.000723321,0.000723321,0.000723321
8,108.069,0.85833,0.603,0.87968,0.85813,0.73398,0.77253,0.51338,0.90235,0.64911,0.89965,0.000715708,0.000715708,0.000715708
9,120.113,0.85697,0.61405,0.8934,0.82375,0.66699,0.65655,0.45376,0.87768,0.64293,0.89244,0.000708095,0.000708095,0.000708095
10,131.823,0.85335,0.58884,0.88056,0.87701,0.71681,0.76016,0.51298,0.90845,0.62302,0.90113,0.000700482,0.000700482,0.000700482
11,143.801,0.84508,0.60259,0.88047,0.89625,0.74196,0.79749,0.5357,0.87936,0.55872,0.89157,0.000692869,0.000692869,0.000692869
12,158.813,0.84456,0.59026,0.88058,0.85331,0.7344,0.78346,0.51661,0.89126,0.60515,0.90012,0.000685256,0.000685256,0.000685256
13,171.755,0.83909,0.56626,0.87565,0.88779,0.7291,0.79379,0.54831,0.8487,0.55415,0.88862,0.000677643,0.000677643,0.000677643
14,185.857,0.79977,0.53171,0.86671,0.77883,0.78746,0.76618,0.52692,0.88215,0.61418,0.8831,0.00067003,0.00067003,0.00067003
15,200.642,0.82424,0.55309,0.8751,0.74618,0.81787,0.79345,0.54897,0.88783,0.6099,0.89058,0.000662417,0.000662417,0.000662417
16,213.009,0.82721,0.5392,0.86893,0.78458,0.76281,0.77206,0.52437,0.87725,0.58933,0.88232,0.000654804,0.000654804,0.000654804
